"Zeitstempel","Einwohnerzahl meiner Heimat / Geburtsstadt","Distanz meiner Heimatstadt zu Regensburg (ca., in km)","Körpergröße (in cm)","Mein Studium finde ich","Die Semesterferien waren","Biologisches Geschlecht","Meine Augenfarbe ist eher","In die Uni komme ich mit dem ","Abends trinke ich am liebsten","Ich bin Vegetarier"
"2017/10/24 9:43:51 vorm. OEZ","19500","140","187","Mittel","zu lange (kann es kaum erwarten endlich wieder Klausuren schreiben, hätte fast noch eine Führerscheinprüfung gemacht nur um mal wieder einen Test zu haben)","Männlich","Blau","Zu Fuß","Bier","Nein"
"2017/10/24 9:52:35 vorm. OEZ","11.000","64","164","Mittel","genau richtig (hat gerade gereicht den gesamten Stoff des 5. Semesters vorzuarbeiten)","Weiblich","Braun","Bus","Cocktails / Longdrinks","Nein"
"2017/10/24 9:57:49 vorm. OEZ","1500","184","163","Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Braun","Fahrad","Bier","Nein"
"2017/10/24 12:34:20 nachm. OEZ","10000","200","180","Mittel","genau richtig (hat gerade gereicht den gesamten Stoff des 5. Semesters vorzuarbeiten)","Männlich","Blau","Fahrad","Waser","Ja"
"2017/10/24 12:55:27 nachm. OEZ","1969","80","180","Leicht","genau richtig (hat gerade gereicht den gesamten Stoff des 5. Semesters vorzuarbeiten)","Männlich","Braun","Zu Fuß","Tee","Ja"
"2017/10/24 1:00:01 nachm. OEZ","11000","100","167","Leicht","genau richtig (hat gerade gereicht den gesamten Stoff des 5. Semesters vorzuarbeiten)","Weiblich","Grün","Zu Fuß","Tee","Ja"
"2017/10/24 1:37:26 nachm. OEZ","61900","150","168","Mittel","genau richtig (hat gerade gereicht den gesamten Stoff des 5. Semesters vorzuarbeiten)","Weiblich","Blau","Zu Fuß","Tee","Nein"
"2017/10/24 5:23:17 nachm. OEZ","290.000","150","173","Schwer","genau richtig (hat gerade gereicht den gesamten Stoff des 5. Semesters vorzuarbeiten)","Weiblich","Blau","Fahrad","Tee","Nein"
"2017/10/24 5:52:52 nachm. OEZ","140000","0","181","Leicht","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Männlich","Braun","Bus","Waser","Nein"
"2017/10/24 8:02:40 nachm. OEZ","8910","100","171","Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Blau","Zu Fuß","Waser","Nein"
"2017/10/24 9:56:57 nachm. OEZ","2000","130","172","Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Grün","Bus","Tee","Ja"
"2017/10/24 10:22:39 nachm. OEZ","125000","200","170","Mittel","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Blau","Fahrad","Tee","Nein"
"2017/10/25 11:51:00 vorm. OEZ","7000","25","175","Schwer","zu lange (kann es kaum erwarten endlich wieder Klausuren schreiben, hätte fast noch eine Führerscheinprüfung gemacht nur um mal wieder einen Test zu haben)","Männlich","Braun","Bus","Bier","Nein"
"2017/10/25 7:28:31 nachm. OEZ","13800","45","165","Mittel","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Blau","Auto","Bier","Ja"
"2017/10/25 8:45:17 nachm. OEZ","80.000","400","180","Schwer","zu lange (kann es kaum erwarten endlich wieder Klausuren schreiben, hätte fast noch eine Führerscheinprüfung gemacht nur um mal wieder einen Test zu haben)","Männlich","Braun","Auto","Wein","Nein"
"2017/10/25 8:48:56 nachm. OEZ","80000","400","175","Mittel","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Grün","Auto","Tee","Nein"
"2017/10/25 8:50:27 nachm. OEZ","330","110","162","Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Braun","Bus","Waser","Nein"
"2017/10/25 9:02:32 nachm. OEZ","300","5","181","Mittel","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Braun","Auto","Waser","Nein"
"2017/10/25 9:50:01 nachm. OEZ","22.000","170","170","Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Grün","Zu Fuß","Tee","Nein"
"2017/10/25 10:07:44 nachm. OEZ","6600","60","179","Mittel","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Männlich","Blau","Zu Fuß","Bier","Nein"
"2017/10/25 10:52:28 nachm. OEZ","280000","150","178","Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Grün","Bus","Waser","Ja"
"2017/10/25 11:37:13 nachm. OEZ","3500","150","165","Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Blau","Auto","Waser","Nein"
"2017/10/26 8:13:38 vorm. OEZ","500000","120","182","Mittel","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Männlich","Blau","Zu Fuß","Bier","Nein"
"2017/10/26 8:47:13 vorm. OEZ","11.000","55","175","Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Männlich","Braun","Bus","Bier","Nein"
"2017/10/26 8:48:55 vorm. OEZ","73000","161","171","Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Braun","Bus","Tee","Ja"
"2017/10/26 9:04:04 vorm. OEZ","1430000","130","194","Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Männlich","Braun","Fahrad","Bier","Nein"
"2017/10/26 9:29:09 vorm. OEZ","1194","180","173","Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Blau","Bus","Tee","Ja"
"2017/10/26 9:30:44 vorm. OEZ","18.000","190","166","Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Braun","Bus","Waser","Ja"